Last Write Time Hive Offset     Type    Key     Name    Data    Volatile
2023-01-09 20:10:57.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .3gp            False
2023-01-09 20:10:57.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .3gp2           False
2023-01-09 20:10:57.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .3gpp           False
2023-01-09 20:10:57.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .aac            False
2023-01-09 20:10:57.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .ac3            False
2023-01-09 20:10:57.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .adt            False
2023-01-09 20:10:57.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .adts           False
2023-01-09 20:26:33.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .aiff           False
2023-01-09 20:26:17.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .all            False
2023-01-09 20:26:30.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .appinstaller           False
2023-01-09 20:26:30.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .appx           False
2023-01-09 20:26:30.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .appxbundle             False
2023-01-09 20:25:57.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .ari            False
2023-01-09 20:10:54.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .arw            False
2023-01-09 20:10:57.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .asf            False
2023-01-09 20:10:56.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .avci           False
2023-01-09 20:10:57.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .avi            False
2023-01-09 20:10:56.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .avif           False
2023-01-09 20:25:57.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .bay            False
2023-01-09 20:10:54.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .bmp            False
2023-01-09 20:25:41.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .c5e2524a-ea46-4f67-841f-6a9465d9d515           False
2023-01-09 20:25:57.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .cap            False
2023-01-09 20:10:57.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .cda            False
2023-01-09 20:10:54.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .cr2            False
2023-01-09 20:25:57.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .cr3            False
2023-01-09 20:10:54.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .crw            False
2023-01-09 20:25:57.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .dcr            False
2023-01-09 20:25:57.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .dcs            False
2023-01-09 20:10:54.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .dib            False
2023-01-09 20:10:57.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .divx           False
2023-01-09 20:10:54.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .dng            False
2023-01-09 20:25:57.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .drf            False
2023-01-09 20:10:57.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .ec3            False
2023-01-09 20:25:57.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .eip            False
2023-01-09 20:10:56.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .emf            False
2023-01-09 20:25:51.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .eml            False
2023-01-09 20:10:54.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .erf            False
2023-01-09 20:26:33.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .f4a            False
2023-01-09 20:26:33.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .f4v            False
2023-01-09 20:09:22.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .fbx            False
2023-01-09 20:25:57.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .fff            False
2023-01-09 20:26:14.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .fh             False
2023-01-09 20:10:57.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .flac           False
2023-01-09 20:11:04.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .fluid          False
2023-01-09 20:26:33.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .flv            False
2023-01-09 20:10:54.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .gif            False
2023-01-09 20:09:22.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .glb            False
2023-01-09 20:09:22.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .gltf           False
